City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Sesheke,ZM,-17.4759,24.2968,96.73,13,51,8.43,broken clouds
302,Mahajanga,MG,-15.7167,46.3167,78.82,65,20,8.05,few clouds
303,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,62,0,8.37,clear sky
304,Tateyama,JP,34.9833,139.8667,82.09,86,99,30.4,overcast clouds
305,Taltal,CL,-25.4,-70.4833,62.22,59,0,6.13,clear sky
306,Aykhal,RU,66.0,111.5,35.96,99,100,6.13,light rain
307,Borodino,RU,55.9106,94.8983,51.01,63,100,9.33,overcast clouds
308,Garowe,SO,8.4054,48.4845,93.74,27,100,16.87,overcast clouds
309,Atar,MR,20.5169,-13.0499,99.72,20,95,5.61,overcast clouds
310,Nicoya,CR,10.1483,-85.452,79.48,84,83,4.32,broken clouds
311,Corabia,RO,43.7833,24.5,75.78,17,7,1.74,clear sky
312,Severnyy,RU,50.677,36.5532,55.44,62,0,11.18,clear sky
313,Ladario,BR,-19.0047,-57.6017,97.09,38,0,5.75,clear sky
314,Faanui,PF,-16.4833,-151.75,78.21,71,3,17.43,clear sky
315,Mae Sai,TH,20.4335,99.8762,73.58,94,65,2.06,broken clouds
316,Lasa,IT,46.6166,10.7002,63.48,42,43,5.99,scattered clouds
317,Ambilobe,MG,-13.2,49.05,76.73,55,1,3.4,clear sky
318,Roald,NO,62.5833,6.1333,55.76,76,75,9.22,broken clouds
319,Verkhnevilyuysk,RU,63.4453,120.3167,34.54,99,100,3.22,overcast clouds
320,Hammel,DK,56.2576,9.8632,59.14,49,7,14.09,clear sky
321,Bac Lieu,VN,9.285,105.7244,79.12,86,90,10.42,overcast clouds
322,Miles City,US,46.4083,-105.8406,63.57,67,0,4.61,clear sky
323,Muzhi,RU,65.3667,64.6667,47.79,83,91,1.34,overcast clouds
324,Wajima,JP,37.4,136.9,78.13,84,100,18.07,light rain
325,Carmarthen,GB,51.8555,-4.3054,63.9,69,100,8.05,overcast clouds
326,Vitoria Do Mearim,BR,-3.4622,-44.8706,92.05,42,100,3.27,overcast clouds
327,Manggar,ID,-2.8833,108.2667,77.56,83,100,4.7,overcast clouds
328,Malindi,KE,-3.2175,40.1191,78.96,78,40,18.41,scattered clouds
329,Margate,GB,51.3813,1.3862,66.69,59,15,4.0,few clouds
330,Boromlya,UA,50.6184,34.9704,56.62,63,56,15.12,broken clouds
331,Port Lincoln,AU,-34.7333,135.8667,58.6,73,28,23.4,scattered clouds
332,La Ronge,CA,55.1001,-105.2842,52.02,93,75,4.61,broken clouds
333,Buala,SB,-8.145,159.5921,79.43,84,97,6.62,light rain
334,Mezen,RU,65.8522,44.24,51.62,84,100,6.42,overcast clouds
335,Ostrovnoy,RU,68.0531,39.5131,48.99,93,96,8.32,light rain
336,Ixtapa,MX,20.7,-105.2,85.23,83,100,0.0,overcast clouds
337,Aasiaat,GL,68.7098,-52.8699,36.57,93,75,3.65,broken clouds
338,Hondo,JP,32.45,130.2,72.77,66,89,25.99,overcast clouds
339,Felipe Carrillo Puerto,MX,19.5833,-88.05,87.42,59,37,2.77,scattered clouds
340,Samarai,PG,-10.6167,150.6667,80.51,83,100,14.29,overcast clouds
341,Saint-Ambroise,CA,48.5501,-71.3324,59.54,46,4,5.28,clear sky
342,Makakilo City,US,21.3469,-158.0858,77.32,75,0,9.22,clear sky
343,Klyuchi,RU,52.2667,79.1667,55.17,32,51,4.14,broken clouds
344,Williams Lake,CA,52.1415,-122.1445,45.97,97,20,8.05,few clouds
345,Foz Do Iguacu,BR,-25.5478,-54.5881,61.95,100,75,10.36,broken clouds
